sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94672,"Adelaide Airport","IDS60901","05/01:30am","20180705013000","20180704160000",-35.0,138.5,10.9,"Partly cloudy",1890,3,-9999,"-",6.2,19,10,15.8,1.8,1014.4,1014.4,1014.4,"-","0.0",39,"-","-",-9999.0,-9999,"10","-","NE",17,9
1,94672,"Adelaide Airport","IDS60901","05/01:00am","20180705010000","20180704153000",-35.0,138.5,11.4,"Partly cloudy",3000,5,-9999,"-",7.3,19,10,16.4,-1.1,1014.1,1014.1,1014.1,"-","0.0",30,"-","-",-9999.0,-9999,"10","-","NNE",15,8
2,94672,"Adelaide Airport","IDS60901","05/12:30am","20180705003000","20180704150000",-35.0,138.5,11.0,"Partly cloudy",2940,5,-9999,"-",7.3,20,11,16.4,-1.1,1014.3,1014.3,1014.3,"-","0.0",30,"-","-",-9999.0,-9999,"10","-","NE",17,9
3,94672,"Adelaide Airport","IDS60901","05/12:00am","20180705000000","20180704143000",-35.0,138.5,10.3,"Mostly cloudy",2500,7,30,"-",7.1,22,12,16.0,-1.0,1014.7,1014.7,1014.7,"F","0.0",31,"-","-",-9999.0,-9999,"30","Fine","NE",19,10
4,94672,"Adelaide Airport","IDS60901","04/11:30pm","20180704233000","20180704140000",-35.0,138.5,11.2,"Partly cloudy",3000,3,-9999,"-",6.9,20,11,16.4,0.4,1015.1,1015.1,1015.1,"-","0.0",33,"-","-",-9999.0,-9999,"10","-","NE",17,9
5,94672,"Adelaide Airport","IDS60901","04/11:00pm","20180704230000","20180704133000",-35.0,138.5,10.9,"Cloudy",3450,8,-9999,"-",6.8,26,14,16.4,0.7,1015.1,1015.1,1015.1,"-","0.0",34,"-","-",-9999.0,-9999,"10","-","NNE",19,10
6,94672,"Adelaide Airport","IDS60901","04/10:30pm","20180704223000","20180704130000",-35.0,138.5,10.6,"-",-9999,-9999,-9999,"-",6.5,19,10,15.7,0.6,1015.1,1015.1,1015.1,"-","0.0",36,"-","-",-9999.0,-9999,"10","-","NE",17,9
7,94672,"Adelaide Airport","IDS60901","04/10:00pm","20180704220000","20180704123000",-35.0,138.5,10.4,"Partly cloudy",3600,5,-9999,"-",6.1,24,13,15.4,1.4,1015.5,1015.5,1015.5,"-","0.0",38,"-","-",-9999.0,-9999,"10","-","NE",17,9
8,94672,"Adelaide Airport","IDS60901","04/09:30pm","20180704213000","20180704120000",-35.0,138.5,11.3,"Partly cloudy",3000,5,-9999,"-",5.4,13,7,14.9,2.8,1015.9,1015.9,1015.9,"-","0.0",44,"-","-",-9999.0,-9999,"10","-","NE",11,6
9,94672,"Adelaide Airport","IDS60901","04/09:00pm","20180704210000","20180704113000",-35.0,138.5,11.4,"Mostly cloudy",2500,7,30,"-",6.1,15,8,15.6,1.7,1016.1,1016.1,1016.1,"F","0.0",39,"-","-",-9999.0,-9999,"35","Fine","NE",13,7
