sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94578,"Brisbane Airport","IDQ60901","05/02:00am","20180705020000","20180704160000",-27.4,153.1,17.3,"Mostly clear",150,1,7,"Stratus",0.2,13,7,16.8,16.5,1022.4,1022.5,1022.4,"-","0.0",98,"-","-",-9999.0,-9999,"9","-","SSW",9,5
1,94578,"Brisbane Airport","IDQ60901","05/01:30am","20180705013000","20180704153000",-27.4,153.1,16.9,"Mostly clear",150,1,7,"Stratus",0.3,17,9,17.1,16.6,1022.7,1022.8,1022.7,"-","0.0",97,"-","-",-9999.0,-9999,"7","Drizzle","SSW",13,7
2,94578,"Brisbane Airport","IDQ60901","05/01:15am","20180705011500","20180704151500",-27.4,153.1,16.6,"Mostly clear",300,2,7,"Stratus",0.5,19,10,17.0,16.2,1022.9,1023.0,1022.9,"-","0.0",95,"-","-",-9999.0,-9999,"6","Showers","SSW",13,7
3,94578,"Brisbane Airport","IDQ60901","05/01:00am","20180705010000","20180704150000",-27.4,153.1,17.0,"Mostly clear",510,1,7,"Stratus",0.8,15,8,17.2,15.8,1023.0,1023.1,1023.0,"-","0.0",91,"-","-",-9999.0,-9999,"10","-","SSW",11,6
4,94578,"Brisbane Airport","IDQ60901","05/12:30am","20180705003000","20180704143000",-27.4,153.1,17.0,"Mostly clear",750,2,6,"Stratocumulus",1.2,13,7,17.4,15.3,1023.1,1023.2,1023.1,"-","0.0",87,"-","-",-9999.0,-9999,"10","-","SSW",11,6
5,94578,"Brisbane Airport","IDQ60901","05/12:00am","20180705000000","20180704140000",-27.4,153.1,17.3,"Mostly cloudy",600,7,34,"-",1.3,13,7,17.6,15.4,1023.3,1023.4,1023.3,"F","0.0",87,"-","-",-9999.0,-9999,"20","Drizzle","SSW",11,6
6,94578,"Brisbane Airport","IDQ60901","04/11:30pm","20180704233000","20180704133000",-27.4,153.1,17.3,"Mostly clear",540,1,7,"Stratus",1.6,17,9,17.8,15.0,1023.5,1023.6,1023.5,"-","0.0",84,"-","-",-9999.0,-9999,"10","Drizzle","S",11,6
7,94578,"Brisbane Airport","IDQ60901","04/11:00pm","20180704230000","20180704130000",-27.4,153.1,17.7,"Cloudy",1710,8,-9999,"-",1.5,13,7,17.7,15.1,1023.5,1023.6,1023.5,"-","0.0",85,"-","-",-9999.0,-9999,"10","-","SSW",9,5
8,94578,"Brisbane Airport","IDQ60901","04/10:30pm","20180704223000","20180704123000",-27.4,153.1,17.8,"Mostly clear",1200,1,6,"Stratocumulus",1.4,11,6,17.5,15.1,1023.7,1023.8,1023.7,"-","0.0",86,"-","-",-9999.0,-9999,"10","-","S",7,4
9,94578,"Brisbane Airport","IDQ60901","04/10:00pm","20180704220000","20180704120000",-27.4,153.1,17.9,"Partly cloudy",1890,5,-9999,"-",1.3,9,5,17.5,15.3,1023.8,1023.9,1023.8,"-","0.0",87,"-","-",-9999.0,-9999,"10","-","SSE",7,4
10,94578,"Brisbane Airport","IDQ60901","04/09:30pm","20180704213000","20180704113000",-27.4,153.1,18.7,"Mostly clear",720,1,8,"Cumulus",1.2,6,3,17.1,15.0,1023.8,1023.9,1023.8,"-","0.0",87,"-","-",-9999.0,-9999,"10","-","CALM",0,0
11,94578,"Brisbane Airport","IDQ60901","04/09:00pm","20180704210000","20180704110000",-27.4,153.1,17.6,"Mostly clear",300,2,38,"-",1.2,9,5,17.1,15.0,1023.7,1023.8,1023.7,"F","0.0",87,"-","-",-9999.0,-9999,"30","Fine","SSE",6,3
12,94578,"Brisbane Airport","IDQ60901","04/08:30pm","20180704203000","20180704103000",-27.4,153.1,17.6,"Mostly clear",600,1,7,"Stratus",1.4,11,6,17.6,15.2,1023.8,1023.9,1023.8,"-","0.0",86,"-","-",-9999.0,-9999,"10","-","SSE",9,5
13,94578,"Brisbane Airport","IDQ60901","04/08:00pm","20180704200000","20180704100000",-27.4,153.1,18.7,"Mostly clear",720,1,8,"Cumulus",1.6,7,4,17.8,15.0,1023.5,1023.6,1023.5,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","SSE",4,2
14,94578,"Brisbane Airport","IDQ60901","04/07:30pm","20180704193000","20180704093000",-27.4,153.1,19.2,"Mostly clear",720,1,8,"Cumulus",2.2,13,7,18.9,15.1,1023.5,1023.6,1023.5,"-","0.0",78,"-","-",-9999.0,-9999,"10","-","SSE",7,4
15,94578,"Brisbane Airport","IDQ60901","04/07:00pm","20180704190000","20180704090000",-27.4,153.1,19.2,"Mostly clear",600,1,8,"Cumulus",2.3,9,5,18.9,14.9,1023.2,1023.3,1023.2,"-","0.0",77,"-","-",-9999.0,-9999,"10","-","SE",7,4
16,94578,"Brisbane Airport","IDQ60901","04/06:30pm","20180704183000","20180704083000",-27.4,153.1,19.6,"Mostly clear",600,1,8,"Cumulus",2.5,11,6,19.3,15.0,1023.1,1023.2,1023.1,"-","0.0",76,"-","-",-9999.0,-9999,"10","-","SE",7,4
17,94578,"Brisbane Airport","IDQ60901","04/06:00pm","20180704180000","20180704080000",-27.4,153.1,19.9,"Mostly clear",600,1,38,"-",2.4,7,4,19.3,15.2,1022.7,1022.8,1022.7,"F","0.0",77,"-","-",-9999.0,-9999,"30","Fine","SE",6,3
18,94578,"Brisbane Airport","IDQ60901","04/05:30pm","20180704173000","20180704073000",-27.4,153.1,19.5,"Mostly clear",600,1,7,"Stratus",2.5,11,6,19.5,15.2,1022.7,1022.8,1022.7,"-","0.0",76,"-","-",-9999.0,-9999,"10","-","SE",9,5
19,94578,"Brisbane Airport","IDQ60901","04/05:00pm","20180704170000","20180704070000",-27.4,153.1,19.5,"Mostly clear",690,1,8,"Cumulus",2.8,17,9,19.9,15.1,1022.3,1022.4,1022.3,"-","0.0",74,"-","-",-9999.0,-9999,"10","-","ESE",11,6
20,94578,"Brisbane Airport","IDQ60901","04/04:30pm","20180704163000","20180704063000",-27.4,153.1,19.7,"Mostly clear",750,1,8,"Cumulus",3.2,19,10,20.5,15.0,1022.3,1022.4,1022.3,"-","0.0",70,"-","-",-9999.0,-9999,"10","-","ESE",13,7
21,94578,"Brisbane Airport","IDQ60901","04/04:00pm","20180704160000","20180704060000",-27.4,153.1,19.7,"Mostly clear",900,1,8,"Cumulus",3.8,24,13,21.1,14.6,1022.3,1022.4,1022.3,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","SE",15,8
22,94578,"Brisbane Airport","IDQ60901","04/03:30pm","20180704153000","20180704053000",-27.4,153.1,20.3,"Mostly clear",1320,2,8,"Cumulus",4.4,26,14,21.5,13.9,1022.4,1022.5,1022.4,"-","0.0",62,"-","-",-9999.0,-9999,"10","-","ESE",13,7
23,94578,"Brisbane Airport","IDQ60901","04/03:00pm","20180704150000","20180704050000",-27.4,153.1,20.1,"Partly cloudy",1000,3,32,"Towering Cumulus",4.7,24,13,21.8,13.6,1022.2,1022.3,1022.2,"R","0.0",59,"-","-",-9999.0,-9999,"30","Fine","ESE",15,8
24,94578,"Brisbane Airport","IDQ60901","04/02:30pm","20180704143000","20180704043000",-27.4,153.1,19.9,"Partly cloudy",1200,3,8,"Cumulus",4.8,28,15,22.0,13.7,1022.2,1022.3,1022.2,"-","0.0",59,"-","-",-9999.0,-9999,"10","-","SE",17,9
25,94578,"Brisbane Airport","IDQ60901","04/02:00pm","20180704140000","20180704040000",-27.4,153.1,19.8,"Partly cloudy",1200,3,8,"Cumulus",4.8,30,16,21.9,13.6,1022.2,1022.3,1022.2,"-","0.0",59,"-","-",-9999.0,-9999,"10","-","ESE",17,9
26,94578,"Brisbane Airport","IDQ60901","04/01:30pm","20180704133000","20180704033000",-27.4,153.1,20.0,"Partly cloudy",1200,3,8,"Cumulus",5.3,26,14,22.3,13.0,1022.2,1022.3,1022.2,"-","0.0",55,"-","-",-9999.0,-9999,"10","-","ESE",17,9
27,94578,"Brisbane Airport","IDQ60901","04/01:00pm","20180704130000","20180704030000",-27.4,153.1,20.0,"Partly cloudy",1200,3,8,"Cumulus",5.1,28,15,22.2,13.3,1022.4,1022.5,1022.4,"-","0.0",57,"-","-",-9999.0,-9999,"10","-","SE",17,9
28,94578,"Brisbane Airport","IDQ60901","04/12:30pm","20180704123000","20180704023000",-27.4,153.1,20.6,"Partly cloudy",1140,3,8,"Cumulus",4.9,26,14,22.5,14.1,1022.6,1022.7,1022.6,"-","0.0",59,"-","-",-9999.0,-9999,"10","-","SE",17,9
29,94578,"Brisbane Airport","IDQ60901","04/12:00pm","20180704120000","20180704020000",-27.4,153.1,19.9,"Partly cloudy",1000,3,32,"Towering Cumulus",4.8,30,16,22.0,13.7,1022.8,1022.9,1022.8,"R","0.0",59,"-","-",-9999.0,-9999,"30","Fine","ESE",17,9
30,94578,"Brisbane Airport","IDQ60901","04/11:30am","20180704113000","20180704013000",-27.4,153.1,19.8,"Partly cloudy",900,3,8,"Cumulus",4.5,26,14,22.0,14.3,1023.0,1023.1,1023.0,"-","0.0",61,"-","-",-9999.0,-9999,"10","-","ESE",19,10
31,94578,"Brisbane Airport","IDQ60901","04/11:00am","20180704110000","20180704010000",-27.4,153.1,19.6,"Partly cloudy",750,3,8,"Cumulus",4.5,28,15,21.6,13.8,1023.5,1023.6,1023.5,"-","0.0",61,"-","-",-9999.0,-9999,"10","-","SE",17,9
32,94578,"Brisbane Airport","IDQ60901","04/10:30am","20180704103000","20180704003000",-27.4,153.1,20.5,"Mostly clear",540,1,7,"Stratus",4.5,26,14,22.0,14.3,1023.7,1023.8,1023.7,"-","0.0",61,"-","-",-9999.0,-9999,"10","-","SE",15,8
