sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94120,"Darwin Airport","IDD60901","05/01:30am","20180705013000","20180704160000",-12.4,130.9,22.9,"-",-9999,-9999,-9999,"-",1.7,6,3,20.8,18.1,1013.4,1013.6,1013.4,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","E",4,2
1,94120,"Darwin Airport","IDD60901","05/01:00am","20180705010000","20180704153000",-12.4,130.9,23.6,"-",-9999,-9999,-9999,"-",1.7,4,2,21.0,18.3,1013.5,1013.7,1013.5,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","E",2,1
2,94120,"Darwin Airport","IDD60901","05/12:30am","20180705003000","20180704150000",-12.4,130.9,23.8,"-",-9999,-9999,-9999,"-",1.4,6,3,21.3,19.1,1013.7,1013.9,1013.7,"-","0.0",87,"-","-",-9999.0,-9999,"10","-","SSE",4,2
3,94120,"Darwin Airport","IDD60901","05/12:00am","20180705000000","20180704143000",-12.4,130.9,24.3,"Mostly clear",2500,1,30,"-",2.0,4,2,21.7,18.5,1013.6,1013.8,1013.6,"R","0.0",82,"-","-",-9999.0,-9999,"30","Fine","SSE",2,1
4,94120,"Darwin Airport","IDD60901","04/11:30pm","20180704233000","20180704140000",-12.4,130.9,24.7,"-",-9999,-9999,-9999,"-",2.0,0,0,21.7,18.5,1013.4,1013.6,1013.4,"-","0.0",82,"-","-",-9999.0,-9999,"10","-","CALM",0,0
5,94120,"Darwin Airport","IDD60901","04/11:00pm","20180704230000","20180704133000",-12.4,130.9,24.9,"-",-9999,-9999,-9999,"-",2.7,4,2,22.4,18.1,1013.3,1013.5,1013.3,"-","0.0",76,"-","-",-9999.0,-9999,"10","-","SSE",2,1
6,94120,"Darwin Airport","IDD60901","04/10:30pm","20180704223000","20180704130000",-12.4,130.9,26.2,"-",-9999,-9999,-9999,"-",2.9,7,4,23.9,19.4,1013.4,1013.6,1013.4,"-","0.0",76,"-","-",-9999.0,-9999,"10","-","S",6,3
7,94120,"Darwin Airport","IDD60901","04/10:00pm","20180704220000","20180704123000",-12.4,130.9,25.2,"-",-9999,-9999,-9999,"-",4.1,9,5,24.0,17.4,1013.1,1013.3,1013.1,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","SSW",7,4
8,94120,"Darwin Airport","IDD60901","04/09:30pm","20180704213000","20180704120000",-12.4,130.9,25.1,"-",-9999,-9999,-9999,"-",3.5,6,3,23.0,17.3,1012.8,1013.0,1012.8,"-","0.0",70,"-","-",-9999.0,-9999,"10","-","NNE",2,1
9,94120,"Darwin Airport","IDD60901","04/09:00pm","20180704210000","20180704113000",-12.4,130.9,26.5,"Clear",2500,0,-9999,"-",3.8,0,0,23.8,17.7,1012.6,1012.8,1012.6,"R","0.0",68,"-","-",-9999.0,-9999,"30","Fine","CALM",0,0
