sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94975,"Hobart Airport","IDT60901","05/02:00am","20180705020000","20180704160000",-42.8,147.5,7.0,"Mostly clear",1050,2,8,"Cumulus",0.8,17,9,9.9,8.3,1011.0,1011.0,1011.0,"-","1.4",90,"-","-",-9999.0,-9999,"10","-","N",13,7
1,94975,"Hobart Airport","IDT60901","05/01:30am","20180705013000","20180704153000",-42.8,147.5,6.6,"Mostly clear",1050,1,8,"Cumulus",0.9,24,13,10.2,8.4,1010.9,1010.9,1010.9,"-","1.0",89,"-","-",-9999.0,-9999,"10","-","NNW",17,9
2,94975,"Hobart Airport","IDT60901","05/01:00am","20180705010000","20180704150000",-42.8,147.5,7.8,"Mostly clear",1050,1,8,"Cumulus",1.2,17,9,10.7,8.2,1010.5,1010.5,1010.5,"-","0.4",84,"-","-",-9999.0,-9999,"10","-","N",13,7
3,94975,"Hobart Airport","IDT60901","05/12:30am","20180705003000","20180704143000",-42.8,147.5,7.1,"Partly cloudy",1200,3,8,"Cumulus",1.2,26,14,10.7,8.2,1010.6,1010.6,1010.6,"-","0.4",84,"-","-",-9999.0,-9999,"10","Showers","N",17,9
4,94975,"Hobart Airport","IDT60901","05/12:00am","20180705000000","20180704140000",-42.8,147.5,7.4,"Mostly cloudy",1000,6,38,"-",1.7,26,14,11.2,7.7,1010.2,1010.2,1010.2,"R","0.0",79,"-","-",-9999.0,-9999,"15","Showers","NNW",17,9
5,94975,"Hobart Airport","IDT60901","04/11:30pm","20180704233000","20180704133000",-42.8,147.5,6.8,"Mostly clear",1050,1,6,"Stratocumulus",2.7,35,19,12.2,6.5,1009.6,1009.6,1009.6,"-","0.0",68,"-","-",-9999.0,-9999,"10","-","N",24,13
6,94975,"Hobart Airport","IDT60901","04/11:00pm","20180704230000","20180704130000",-42.8,147.5,6.1,"Mostly clear",1050,1,6,"Stratocumulus",2.4,35,19,11.8,6.8,1009.3,1009.3,1009.3,"-","0.0",71,"-","-",-9999.0,-9999,"10","-","N",26,14
7,94975,"Hobart Airport","IDT60901","04/10:30pm","20180704223000","20180704123000",-42.8,147.5,6.1,"Mostly clear",1050,1,6,"Stratocumulus",2.4,37,20,11.5,6.4,1009.4,1009.4,1009.4,"-","0.0",71,"-","-",-9999.0,-9999,"10","-","N",24,13
8,94975,"Hobart Airport","IDT60901","04/10:00pm","20180704220000","20180704120000",-42.8,147.5,6.7,"Mostly clear",1050,1,6,"Stratocumulus",2.5,35,19,11.7,6.4,1009.3,1009.3,1009.3,"-","0.0",70,"-","-",-9999.0,-9999,"10","-","NNW",22,12
9,94975,"Hobart Airport","IDT60901","04/09:30pm","20180704213000","20180704113000",-42.8,147.5,6.5,"Mostly clear",1050,1,6,"Stratocumulus",2.7,35,19,11.9,6.2,1009.1,1009.1,1009.1,"-","0.0",68,"-","-",-9999.0,-9999,"10","-","NNW",24,13
10,94975,"Hobart Airport","IDT60901","04/09:00pm","20180704210000","20180704110000",-42.8,147.5,6.5,"Mostly clear",1000,1,35,"-",2.7,33,18,11.9,6.2,1009.2,1009.2,1009.2,"F","0.0",68,"-","-",-9999.0,-9999,"35","Fine","NW",24,13
11,94975,"Hobart Airport","IDT60901","04/08:30pm","20180704203000","20180704103000",-42.8,147.5,6.5,"Mostly clear",1050,1,6,"Stratocumulus",2.9,35,19,12.0,5.8,1009.0,1009.0,1009.0,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","NNW",24,13
12,94975,"Hobart Airport","IDT60901","04/08:00pm","20180704200000","20180704100000",-42.8,147.5,5.8,"Mostly clear",1050,1,6,"Stratocumulus",2.9,44,24,12.1,5.9,1008.6,1008.6,1008.6,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","N",28,15
13,94975,"Hobart Airport","IDT60901","04/07:30pm","20180704193000","20180704093000",-42.8,147.5,6.3,"Mostly clear",1050,1,6,"Stratocumulus",3.2,39,21,12.6,5.8,1008.7,1008.7,1008.7,"-","0.0",63,"-","-",-9999.0,-9999,"10","-","N",28,15
