sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94866,"Melbourne Airport","IDV60901","04/01:49pm","20180704134900","20180704034900",-37.7,144.8,5.8,"Mostly clear",900,1,8,"Cumulus",4.3,65,35,15.3,6.5,1018.7,1018.5,1018.7,"-","0.0",101,"-","-",-9999.0,-9999,"10","-","N",46,25
1,94866,"Melbourne Airport","IDV60901","04/01:30pm","20180704133000","20180704033000",-37.7,144.8,-1.1,"Mostly clear",900,1,8,"Cumulus",3.8,61,33,13.6,5.6,1018.6,1018.4,1018.6,"-","0.0",102,"-","-",-9999.0,-9999,"10","-","N",48,26
2,94866,"Melbourne Airport","IDV60901","04/01:08pm","20180704130800","20180704030800",-37.7,144.8,2.1,"-",-9999,-9999,-9999,"-",3.6,72,39,13.3,5.7,1018.8,1018.6,1018.8,"-","0.0",60,"-","-",-9999.0,-9999,"10","-","N",54,29
3,94866,"Melbourne Airport","IDV60901","04/01:00pm","20180704130000","20180704030000",-37.7,144.8,2.1,"-",-9999,-9999,-9999,"-",3.7,70,38,13.4,5.6,1019.2,1019.0,1019.2,"-","0.0",59,"-","-",-9999.0,-9999,"10","-","N",54,29
4,94866,"Melbourne Airport","IDV60901","04/12:30pm","20180704123000","20180704023000",-37.7,144.8,1.2,"Mostly clear",840,1,6,"Stratocumulus",3.5,76,41,12.9,5.4,1019.5,1019.3,1019.5,"-","0.0",60,"-","-",-9999.0,-9999,"10","-","N",56,30
5,94866,"Melbourne Airport","IDV60901","04/12:00pm","20180704120000","20180704020000",-37.7,144.8,0.7,"Mostly cloudy",600,7,35,"-",3.3,78,42,12.1,4.9,1019.6,1019.4,1019.6,"F","0.0",61,"-","-",-9999.0,-9999,"35","Fine","N",54,29
6,94866,"Melbourne Airport","IDV60901","04/11:38am","20180704113800","20180704013800",-37.7,144.8,0.1,"Mostly clear",840,1,6,"Stratocumulus",3.3,74,40,11.9,4.7,1020.2,1020.0,1020.2,"-","0.0",61,"-","-",-9999.0,-9999,"10","-","N",56,30
7,94866,"Melbourne Airport","IDV60901","04/11:30am","20180704113000","20180704013000",-37.7,144.8,0.1,"Mostly clear",840,1,6,"Stratocumulus",3.3,70,38,11.9,4.7,1020.2,1020.0,1020.2,"-","0.0",61,"-","-",-9999.0,-9999,"10","-","N",56,30
8,94866,"Melbourne Airport","IDV60901","04/11:12am","20180704111200","20180704011200",-37.7,144.8,0.6,"Mostly clear",840,1,6,"Stratocumulus",3.2,72,39,11.7,4.7,1020.7,1020.5,1020.7,"-","0.0",62,"-","-",-9999.0,-9999,"10","-","N",52,28
9,94866,"Melbourne Airport","IDV60901","04/11:00am","20180704110000","20180704010000",-37.7,144.8,0.3,"Mostly clear",840,1,6,"Stratocumulus",2.8,65,35,11.0,4.8,1021.0,1020.8,1021.0,"-","0.0",65,"-","-",-9999.0,-9999,"10","-","N",50,27
