sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94610,"Perth Airport","IDW60901","05/12:19am","20180705001900","20180704161900",-31.9,116.0,6.6,"Mostly clear",900,2,8,"Cumulus",3.8,57,31,13.4,5.3,1014.9,1014.9,1014.9,"-","8.2",58,"-","-",-9999.0,-9999,"10","Showers","W",30,16
1,94610,"Perth Airport","IDW60901","05/12:00am","20180705000000","20180704160000",-31.9,116.0,7.2,"Partly cloudy",1000,5,35,"-",2.9,32,17,12.0,5.8,1014.7,1014.7,1014.7,"R","8.2",66,"-","-",-9999.0,-9999,"20","Recent precip.","W",20,11
2,94610,"Perth Airport","IDW60901","04/11:45pm","20180704234500","20180704154500",-31.9,116.0,4.2,"Mostly clear",900,1,8,"Cumulus",1.6,54,29,11.3,8.0,1014.9,1014.9,1014.9,"-","8.2",80,"-","-",-9999.0,-9999,"10","Showers","WSW",35,19
3,94610,"Perth Airport","IDW60901","04/11:30pm","20180704233000","20180704153000",-31.9,116.0,8.2,"Mostly clear",900,2,8,"Cumulus",3.4,32,17,13.0,5.8,1014.7,1014.7,1014.7,"-","7.8",61,"-","-",-9999.0,-9999,"10","Showers","W",20,11
4,94610,"Perth Airport","IDW60901","04/11:00pm","20180704230000","20180704150000",-31.9,116.0,5.4,"Mostly clear",900,1,8,"Cumulus",2.5,44,24,12.2,7.0,1015.0,1015.0,1015.0,"-","7.8",70,"-","-",-9999.0,-9999,"10","-","WSW",32,17
5,94610,"Perth Airport","IDW60901","04/10:30pm","20180704223000","20180704143000",-31.9,116.0,7.0,"Mostly clear",900,1,8,"Cumulus",3.9,48,26,13.4,5.0,1014.7,1014.7,1014.7,"-","7.8",57,"-","-",-9999.0,-9999,"10","-","W",28,15
6,94610,"Perth Airport","IDW60901","04/10:00pm","20180704220000","20180704140000",-31.9,116.0,7.4,"Mostly clear",900,2,8,"Cumulus",3.3,41,22,12.6,5.5,1014.5,1014.5,1014.5,"-","7.8",62,"-","-",-9999.0,-9999,"1","-","W",22,12
7,94610,"Perth Airport","IDW60901","04/09:30pm","20180704213000","20180704133000",-31.9,116.0,7.9,"Mostly clear",900,2,8,"Cumulus",4.5,37,20,13.8,3.9,1014.4,1014.4,1014.4,"-","7.6",51,"-","-",-9999.0,-9999,"8","Showers","W",24,13
8,94610,"Perth Airport","IDW60901","04/09:00pm","20180704210000","20180704130000",-31.9,116.0,6.2,"Partly cloudy",600,3,38,"-",4.3,43,23,13.3,3.8,1014.5,1014.5,1014.5,"R","7.6",52,"-","-",-9999.0,-9999,"20","Fine","WSW",30,16
9,94610,"Perth Airport","IDW60901","04/08:30pm","20180704203000","20180704123000",-31.9,116.0,5.4,"Mostly clear",1050,2,6,"Stratocumulus",3.0,59,32,13.1,6.9,1014.4,1014.4,1014.4,"-","7.6",66,"-","-",-9999.0,-9999,"10","-","WSW",37,20
