sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94767,"Sydney Airport","IDN60901","05/02:00am","20180705020000","20180704160000",-33.9,151.2,11.4,"-",-9999,-9999,-9999,"-",0.4,11,6,12.3,11.5,1023.1,1023.1,1023.1,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","N",7,4
1,94767,"Sydney Airport","IDN60901","05/01:30am","20180705013000","20180704153000",-33.9,151.2,11.9,"-",-9999,-9999,-9999,"-",0.5,6,3,12.5,11.6,1023.1,1023.1,1023.1,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","NE",6,3
2,94767,"Sydney Airport","IDN60901","05/01:00am","20180705010000","20180704150000",-33.9,151.2,12.0,"-",-9999,-9999,-9999,"-",0.6,11,6,13.1,12.0,1023.2,1023.2,1023.2,"-","0.0",93,"-","-",-9999.0,-9999,"10","-","N",9,5
3,94767,"Sydney Airport","IDN60901","05/12:30am","20180705003000","20180704143000",-33.9,151.2,12.8,"-",-9999,-9999,-9999,"-",0.6,7,4,13.4,12.3,1023.5,1023.5,1023.5,"-","0.0",93,"-","-",-9999.0,-9999,"10","-","N",7,4
4,94767,"Sydney Airport","IDN60901","05/12:00am","20180705000000","20180704140000",-33.9,151.2,13.8,"Clear",2500,0,-9999,"-",0.7,7,4,13.8,12.5,1023.8,1023.8,1023.8,"F","0.0",92,"-","-",-9999.0,-9999,"22","Haze","NNW",4,2
5,94767,"Sydney Airport","IDN60901","04/11:30pm","20180704233000","20180704133000",-33.9,151.2,14.3,"-",-9999,-9999,-9999,"-",0.8,13,7,14.9,13.4,1023.9,1023.9,1023.9,"-","0.0",91,"-","-",-9999.0,-9999,"10","-","NW",9,5
6,94767,"Sydney Airport","IDN60901","04/11:00pm","20180704230000","20180704130000",-33.9,151.2,13.2,"-",-9999,-9999,-9999,"-",0.9,13,7,14.1,12.5,1024.2,1024.2,1024.2,"-","0.0",90,"-","-",-9999.0,-9999,"10","-","WSW",9,5
7,94767,"Sydney Airport","IDN60901","04/10:30pm","20180704223000","20180704123000",-33.9,151.2,15.5,"-",-9999,-9999,-9999,"-",1.4,9,5,15.8,13.3,1024.0,1024.0,1024.0,"-","0.0",85,"-","-",-9999.0,-9999,"10","-","N",7,4
8,94767,"Sydney Airport","IDN60901","04/10:00pm","20180704220000","20180704120000",-33.9,151.2,15.9,"-",-9999,-9999,-9999,"-",1.4,11,6,16.1,13.6,1024.1,1024.1,1024.1,"-","0.0",85,"-","-",-9999.0,-9999,"10","-","N",7,4
9,94767,"Sydney Airport","IDN60901","04/09:30pm","20180704213000","20180704113000",-33.9,151.2,14.7,"-",-9999,-9999,-9999,"-",1.5,19,10,16.4,13.7,1023.9,1023.9,1023.9,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","N",15,8
10,94767,"Sydney Airport","IDN60901","04/09:00pm","20180704210000","20180704110000",-33.9,151.2,14.5,"Clear",2500,0,-9999,"-",1.5,19,10,16.2,13.5,1024.0,1024.0,1024.0,"F","0.0",84,"-","-",-9999.0,-9999,"20","Haze","N",15,8
11,94767,"Sydney Airport","IDN60901","04/08:30pm","20180704203000","20180704103000",-33.9,151.2,13.8,"-",-9999,-9999,-9999,"-",1.5,22,12,16.3,13.6,1023.9,1023.9,1023.9,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","N",19,10
12,94767,"Sydney Airport","IDN60901","04/08:00pm","20180704200000","20180704100000",-33.9,151.2,14.0,"-",-9999,-9999,-9999,"-",1.6,30,16,16.9,14.0,1024.0,1024.0,1024.0,"-","0.0",83,"-","-",-9999.0,-9999,"10","-","N",22,12
13,94767,"Sydney Airport","IDN60901","04/07:30pm","20180704193000","20180704093000",-33.9,151.2,13.8,"Mostly clear",750,1,8,"Cumulus",1.7,32,17,17.3,14.4,1024.1,1024.1,1024.1,"-","0.0",83,"-","-",-9999.0,-9999,"10","-","NNE",26,14
14,94767,"Sydney Airport","IDN60901","04/07:00pm","20180704190000","20180704090000",-33.9,151.2,14.3,"Mostly clear",900,1,8,"Cumulus",1.5,28,15,17.1,14.4,1024.1,1024.1,1024.1,"-","0.0",84,"-","-",-9999.0,-9999,"10","-","NNE",22,12
15,94767,"Sydney Airport","IDN60901","04/06:30pm","20180704183000","20180704083000",-33.9,151.2,14.4,"Mostly clear",900,1,8,"Cumulus",1.7,28,15,17.2,14.3,1024.1,1024.1,1024.1,"-","0.0",83,"-","-",-9999.0,-9999,"10","-","NNE",22,12
16,94767,"Sydney Airport","IDN60901","04/06:00pm","20180704180000","20180704080000",-33.9,151.2,15.2,"Mostly clear",600,1,31,"-",1.8,24,13,17.4,14.3,1024.0,1024.0,1024.0,"F","0.0",82,"-","-",-9999.0,-9999,"25","Fine","NE",19,10
17,94767,"Sydney Airport","IDN60901","04/05:30pm","20180704173000","20180704073000",-33.9,151.2,14.6,"-",-9999,-9999,-9999,"-",1.8,26,14,17.1,14.0,1024.0,1024.0,1024.0,"-","0.0",82,"-","-",-9999.0,-9999,"10","-","NE",20,11
18,94767,"Sydney Airport","IDN60901","04/05:00pm","20180704170000","20180704070000",-33.9,151.2,14.5,"-",-9999,-9999,-9999,"-",2.1,26,14,17.2,13.5,1023.9,1023.9,1023.9,"-","0.0",79,"-","-",-9999.0,-9999,"10","-","NE",20,11
19,94767,"Sydney Airport","IDN60901","04/04:30pm","20180704163000","20180704063000",-33.9,151.2,14.5,"-",-9999,-9999,-9999,"-",2.7,28,15,18.0,13.3,1024.0,1024.0,1024.0,"-","0.0",74,"-","-",-9999.0,-9999,"10","-","NE",24,13
20,94767,"Sydney Airport","IDN60901","04/04:00pm","20180704160000","20180704060000",-33.9,151.2,15.4,"Mostly clear",750,1,8,"Cumulus",2.9,24,13,18.2,13.1,1024.1,1024.1,1024.1,"-","0.0",72,"-","-",-9999.0,-9999,"10","-","NNE",20,11
21,94767,"Sydney Airport","IDN60901","04/03:30pm","20180704153000","20180704053000",-33.9,151.2,17.1,"Mostly clear",750,1,8,"Cumulus",3.7,24,13,19.7,13.2,1024.3,1024.3,1024.3,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","NNE",19,10
22,94767,"Sydney Airport","IDN60901","04/03:00pm","20180704150000","20180704050000",-33.9,151.2,17.0,"Mostly clear",600,1,38,"-",3.6,26,14,19.7,13.4,1024.4,1024.4,1024.4,"F","0.0",67,"-","-",-9999.0,-9999,"30","Fine","NNE",20,11
23,94767,"Sydney Airport","IDN60901","04/02:30pm","20180704143000","20180704043000",-33.9,151.2,16.4,"Mostly clear",750,1,8,"Cumulus",3.6,22,12,18.9,12.4,1024.7,1024.7,1024.7,"-","0.0",66,"-","-",-9999.0,-9999,"10","-","NNE",17,9
